Network,d,a,cc,Cd,Gd,Gr,Bd
variant_183,0.12631578947368416,0.03300532040114884,0.0023287370774555272,0.489499401793299,0.7369396378528037,0.7493055254496159,0.47730715497722437
variant_184,0.5631578947368419,0.16163661189321532,0.7968988189538327,0.05821525662609872,0.3245016624823458,0.3420917227369933,0.14645353379511694
variant_185,0.32631578947368434,0.08752766137765433,0.5579896336832519,0.01437861628171655,0.6961123921943095,0.7071385929604943,0.41793218487643996
variant_186,0.13684210526315788,0.13833042986957955,0.13269673273904692,0.028603634426609403,0.6976040684802385,0.6809301831414265,0.5770714757732729
variant_188,0.32631578947368434,0.051650266020057456,0.5046778770387746,0.040667785760070796,0.5827449944636889,0.5964808626133198,0.2418462806395119
variant_189,0.12105263157894752,0.07335561937944346,0.019621186973431626,0.0042741807113366725,0.9260379918963126,0.9339502985396375,0.4626116924604931
variant_18,0.3631578947368421,0.16723951221808941,0.413101294662059,0.03380364576787098,0.5848464943214209,0.5708677005790537,0.18972122338758407
variant_190,0.2421052631578946,0.07264937143933331,0.44433293399657503,0.02926022181088639,0.6153738463315355,0.6006653986348514,0.5561797015282419
variant_191,0.34736842105263177,0.10603135740854092,0.5421474652161962,0.8134376490912043,0.4554352353186173,0.471990915972748,0.3722877972574206
variant_192,0.2526315789473683,0.2433730401619662,0.11892767164169929,0.01693508759670559,0.7242170713388252,0.7069070914325717,0.3765683113766715
variant_193,0.1421052631578945,0.058006497481049024,0.1631723212775265,0.013418404673489537,0.7543465204596558,0.7363163971329991,0.7268283641189512
variant_194,0.331578947368421,0.16130702952116394,0.5586640777267835,0.038155741813143074,0.5224395176789931,0.5375606715055441,0.28093112637856926
variant_195,0.12631578947368416,0.22971891331983613,0.09915768888170175,0.03571826440356274,0.7369396378528037,0.7493055254496159,0.6408709023993173
variant_196,0.08947368421052637,0.17321907811102222,0.0028390411844584646,0.09455550418254077,0.7370083494293487,0.7193926369251145,0.4893457395190293
variant_198,0.06842105263157894,0.06257356749376147,0.057476182902925825,0.0,0.8494654691470731,0.859886227514213,0.6863709155083828
variant_199,0.45263157894736805,0.12411130467536136,0.8388886814538911,0.07358377717911369,0.551107581143516,0.5643129177449551,0.26501239960224393
variant_1,0.22631578947368425,0.1975140072508122,0.11909887809159256,0.058019240399166616,0.6567453835743213,0.6698237769131912,0.2789673803548172
variant_200,0.2894736842105261,0.2957295541221338,0.16388085964250335,0.24011259993646483,0.5518319257010613,0.5667059475405232,0.3516160030922468
variant_201,0.12105263157894752,0.1833890484486087,0.11186297256788655,0.8215178487509234,0.5874373536412811,0.5733966340971872,0.681178112856756
variant_202,0.1947368421052631,0.1457224916427327,0.18678920859448778,0.13449436536270198,0.8008012364583994,0.8108061668938753,0.46650797822023377
variant_203,0.3421052631578947,0.16469701963369276,0.4636812004876839,0.4897605265739262,0.5434099428268526,0.5304215508606123,0.25861636675731453
variant_204,0.3526315789473684,0.16403785488958994,0.42494640953941193,0.04666481068917827,0.48004143142905753,0.4685676511757906,0.3759327358003253
variant_205,0.2578947368421054,0.15480954847215034,0.35491450759703486,0.07803292134949524,0.6909647076418228,0.7028647557758958,0.29249264092764
variant_206,0.08947368421052637,0.15240830547577566,0.09010104348196096,0.034635710093340766,0.6746182379265913,0.658493751767609,0.6222458582297772
variant_207,0.06842105263157894,0.15443288290409152,0.07425469214450038,0.385349818640353,0.8494654691470731,0.859886227514213,0.7590084803906396
variant_208,0.4473684210526314,0.19007486228165166,0.7089075921365083,0.045025909639199835,0.44631888816553,0.462080065851848,0.2324485197587393
variant_209,0.4157894736842107,0.5382080135599605,0.4009067409081252,0.1033900760868911,0.19247383007571361,0.21461386191624188,0.2532130384207338
variant_20,0.26315789473684204,0.21535853853759584,0.4694587911915085,0.02382601796160788,0.6578508954602251,0.6421271763815293,0.46145055835213794
variant_210,0.2421052631578946,0.2131456283252507,0.10273746508048537,0.18660509431056616,0.5567848130505848,0.5434767396739166,0.400175623104649
variant_211,0.021052631578947434,0.053674843448373255,0.004541010816046119,0.4342902482373656,0.8610697923484265,0.8404888071807075,0.7465717757333796
variant_212,0.17894736842105274,0.20678939686425918,0.01691968536470853,0.16393885071916525,0.7239655890505394,0.7066616199848601,0.3487122087281304
variant_213,0.2578947368421054,0.1398370921418146,0.220385756671388,0.25801473068644,0.3998542708805224,0.41871233755663706,0.3700061496224523
variant_214,0.44210526315789433,0.20231649324356138,0.7497275153172096,0.08117639205567073,0.25973613458724243,0.25352801350232856,0.11789120052520069
variant_215,0.3631578947368421,0.15099580959555536,0.5180370332243319,0.15404649431400763,0.501013689185952,0.516314991830747,0.3930996866150284
variant_216,0.7157894736842105,0.3134328358208955,0.8803138296143327,0.051366744351303506,0.31725297027298716,0.30967010215518287,0.18524279562281537
variant_217,0.21578947368421053,0.20363482273176708,0.1231614691872763,0.08490449567012126,0.5168547075661152,0.5045010294266552,0.2025594164730926
variant_218,0.15263157894736823,0.07354395216347287,0.1571822377009575,0.18149563442904704,0.8367101942817943,0.8463648223188678,0.6253222498665998
variant_219,0.1473684210526316,0.04830735910353595,0.1826358986842487,0.025082486441280416,0.7803953592844324,0.7914607499281014,0.5462562979953294
variant_21,0.052631578947368585,0.06191440274965865,0.0954030385582649,0.024667905423740866,0.8321532694710538,0.8122634367903105,0.709914629720219
variant_220,0.0631578947368423,0.07768727341211923,0.021043237356060528,0.6273548458537537,0.8542368281692583,0.8646130553776279,0.7221840413892446
variant_221,0.33684210526315805,0.11634257733414949,0.45556014045489024,0.29483809796391425,0.5188324028281066,0.5339838853524659,0.04928223915241886
variant_222,0.13684210526315788,0.05155609962804275,0.01952034884015188,0.07535018764582935,0.7281834323417875,0.7406271166181921,0.39251226486629714
variant_223,0.5368421052631578,0.3152219972691747,0.5564089490926148,0.07851700105889003,0.3393886632449512,0.356861115696129,0.10869431868161988
variant_224,0.23157894736842088,0.06954188050284854,0.3997864227722546,0.10331595605574906,0.4467758687044956,0.43609719014811077,0.4135379977544336
variant_225,0.052631578947368585,0.0,0.003928070973131298,0.03316960694727822,0.8321532694710538,0.8122634367903105,0.6649098167931704
variant_226,0.11578947368421044,0.0735910353594802,0.019671829793325817,0.04385271456800366,0.8074732873102288,0.818285959282657,0.38213621344622756
variant_227,0.5157894736842104,0.34606149065398556,0.5011579603651962,0.07909522660301782,0.2986823671954868,0.3173215883284013,0.19142168078984606
variant_228,0.1105263157894738,0.1314562832525072,0.23914709120178274,0.1265900923397214,0.9048114652893151,0.8831849821491817,0.6360957597362185
variant_229,0.47368421052631593,0.43716747492819824,0.5965635685021294,0.07221230464596351,0.5371800211450357,0.550515343853724,0.09412762207415915
variant_22,0.13157894736842124,0.2041998210838552,0.3020094250175353,0.13133511385126573,0.824491626657391,0.8047849198492651,0.8618676931469851
variant_230,0.12631578947368416,0.22873016620368186,0.1168861460311518,0.01282656068990562,0.8290818619994975,0.809265441012182,0.624514527657108
variant_231,0.32105263157894726,0.24050096520551817,0.31258835098684024,0.13215338113479635,0.5296978261773144,0.5447579519927968,0.23789113609278772
variant_232,0.3947368421052633,0.3341494420641274,0.2665396574100757,0.06365660457476707,0.48009698929076583,0.4955741599898069,0.3212468269913262
variant_234,0.2421052631578946,0.1025942841000047,0.3020880890633223,0.5336858797545401,0.6446683629720109,0.6578540575957865,0.5613798374756951
variant_235,0.3947368421052633,0.12891379066811054,0.4528590063238079,0.8138427195264457,0.5353215038288504,0.549478717743084,0.36536045550397783
variant_236,0.5894736842105259,0.4631103159282453,0.4754684975048698,0.07291892942991751,0.38707119266111456,0.37781955412286905,0.2291851750317539
variant_237,0.07368421052631557,0.12232214322708224,0.05416049179385015,0.05916118003554516,0.9703389353535128,0.9778014198907463,0.7510676793787365
variant_238,0.22631578947368425,0.2339093177644898,0.3315334716567653,0.030419575189524206,0.7746666514040572,0.7849265323694492,0.4725927382967707
variant_239,0.5631578947368419,0.37374640990630453,0.7735678438297525,0.04256789294388508,0.42836899895062364,0.44347645892099696,0.2801270470514347
variant_23,0.1473684210526316,0.052026931588116165,0.0852865881827884,0.015992289730738296,0.8717328478490587,0.8508969981058414,0.5300427736875497
