Network,S,Sp,N,Np
variant_280,96.53503259445145,64.85315019340217,27.987423813866265,37.657202326671715
variant_281,96.46629967951424,64.35333667839619,26.404323611390183,36.24231698583698
variant_282,96.6051838517769,65.75597326628684,29.82645275300494,40.17694760866989
variant_283,96.58666197089539,65.19540938204791,27.988454226494998,37.85787518611828
variant_284,96.83746809538894,65.69455792708067,28.871002643008396,39.65671803273621
variant_285,96.34977721433098,65.90641616740781,27.72879024405323,38.889318227484196
variant_286,96.73100507123277,65.3352366415956,29.179997630050956,38.53472748162001
variant_287,96.4704033648032,65.33992711158152,29.658495494520782,39.3354868957274
variant_288,96.48962710339694,64.70206359283591,26.96254965300855,37.26809275774484
variant_289,96.66117451886876,66.02180801685257,27.910142866710977,39.218535062365724
variant_28,96.60731760335278,64.46128728934961,27.297176154190947,37.033802686285725
variant_290,96.98138647130224,65.5208522964712,29.565758357934435,39.65246758064268
variant_291,96.7858661460414,66.731088741581,29.108899158668088,41.01892352792676
variant_292,96.20716953052332,64.54885269555709,26.04599761974683,36.47261420835974
variant_293,95.80388348672652,66.87934104514228,28.954337264357513,41.78632333317878
variant_294,96.91373340885484,64.84918464212559,27.859781449481446,37.72688398069007
variant_295,96.64471298405904,66.86485316588086,29.982045059944255,41.36861981380444
variant_296,95.99706395149995,64.39191471798804,27.480589602106164,38.28704204598732
variant_297,96.49539357299604,64.35563414562857,26.439615243924433,36.66993822676291
variant_298,96.49379152902804,64.62111409601366,27.479816792634615,37.492980313966726
variant_299,96.24953880463809,64.67714986225394,27.304775447327884,37.504314852882835
variant_29,96.79857768495131,65.19391555236703,29.28767574975399,38.234748605078906
variant_2,96.3744620359781,64.47425222434829,26.27655244542677,36.35914001762006
variant_300,97.03482518668281,66.39725086416514,30.434782608695652,40.70284445406163
variant_301,96.64745371986213,64.48999611848872,27.405111877051166,37.05350932781032
variant_302,96.85216791420744,65.71296123764024,29.372169585310434,40.07789919473253
variant_303,96.17815109500017,64.43832659105334,27.597541435467832,36.396234872254595
variant_304,96.95431777800658,65.79103542041258,30.61175597768126,41.02433319422763
variant_305,96.77443745274434,64.85869882345341,30.220971988232687,39.41147982709676
variant_30,96.38782976372399,64.81909607488221,27.403437456529467,37.452794221445984
variant_31,96.28310832182802,65.05846981805558,29.251482506169594,39.40710057342462
variant_32,96.73384201501224,64.6657351009745,29.019510863125138,38.020036373565794
variant_33,96.69925243574801,64.31182968867259,27.393906139713653,37.33854722123475
variant_34,96.81631317783184,65.55194753135598,31.488379521579414,41.193449666919115
variant_35,96.5291312655765,64.18293292070089,28.53882337181924,38.14329948427848
variant_36,96.57691613966385,64.71547332600686,29.405400392587207,38.51373282430949
variant_37,96.68204399097938,65.99307733400353,28.713349510811604,39.83124417172858
variant_38,96.16537457679922,64.44020622411277,26.74642060413093,36.65358042628171
variant_39,96.26437717961161,64.44732309184104,27.209462279169692,36.6043782232595
variant_3,96.63371376437102,66.29327146754392,31.408007336537914,42.008892460986004
variant_40,96.44091733948692,65.15018776540171,26.847014637011394,37.36868679062531
variant_41,96.34177785947017,64.82172378567864,26.853841120676776,37.36314832274584
variant_42,96.43061875916676,65.05805035964164,29.00688830842311,39.53268211255197
variant_43,96.51357962435155,63.838028800983295,26.056559349191385,35.75029495561497
variant_44,96.42955190413457,64.5632313534865,26.5270715157885,36.36738331864994
variant_45,96.63911864014132,65.7030618328346,30.257165231817076,40.747409800254516
variant_46,96.20152331229419,64.70958579104507,27.49050732365776,38.03137091248191
variant_47,96.40083985618382,63.89765152023516,27.375101109239196,36.237293724271886
variant_48,96.69551247604888,64.46678345021827,30.072206164958754,39.33303966573414
variant_49,96.72264291570616,64.81468700743311,29.42794066884084,38.479342802825386
variant_4,96.61689197219502,65.05636730057275,28.185520641740986,38.19185767940772
variant_50,96.9476061727117,65.34764888914658,29.984492289937506,40.27702643523599
