Network,S,Sp,N,Np,Overall
variant_202,0.839579517858752,0.3607738066587469,0.708637124130838,0.44617876746195106,0.6336841841745013
variant_203,0.37907180730807255,0.24981681629682662,0.36591505625566034,0.3038533098536176,0.24750308016833078
variant_204,0.6425665467049484,0.07855160222719171,0.42780395708299457,0.20283111618137184,0.26691105403394183
variant_205,0.6837159948286811,0.29448025425683255,0.41157960981749486,0.21802740476738025,0.3605036175904535
variant_206,0.700259104440832,0.6275183548500234,0.910957957911863,0.6181618318815341,0.8170780728999174
variant_207,0.8578719523680718,0.47528694634191204,0.7735038143332975,0.5184957102833794,0.7323718543288062
variant_208,0.7249175664661252,0.3942677581544718,0.44065142979938265,0.29189710187211926,0.44966622565686803
variant_209,0.5900391106102134,0.42774351579400616,0.31710386959124515,0.3457776755030286,0.387136064542752
variant_20,0.5751328550436909,0.20430257468220425,0.2783465594253176,0.16402261079380542,0.21941164877259134
variant_210,0.7571205722372412,0.3446290210298173,0.42811094567836827,0.2641856137626202,0.42857995660945486
variant_211,0.9782440517744391,0.25969939744607373,0.454742206327035,0.3169275009191015,0.5073749780194463
variant_212,0.6520306152491955,0.42494582570251005,0.4705367695590108,0.3030769327119627,0.44924817050825755
variant_213,0.6451873924488183,0.3271834020690889,0.7148382937573867,0.378012854424576,0.5277013518402609
variant_214,0.6799406346704231,0.1996180088628723,0.3545257793672967,0.16135187342650958,0.2828782878932989
variant_215,0.6630011816824464,0.0880336416397256,0.3351394495694482,0.14470634750940992,0.2227291566178542
variant_216,0.4549433556582869,0.15845055332044922,0.12896590891648385,0.1293858385807365,0.09145652825566936
variant_217,0.718790326633254,0.4389850853042496,0.5750970851432871,0.38650124450667844,0.5474951610890832
variant_218,0.7380008830470359,0.5170983126129087,0.6186280679672747,0.5310626682829795,0.6518217715401979
variant_219,0.6826119719069581,0.2099327392856889,0.435140984512425,0.2811727456220474,0.36088931087654913
variant_21,0.8504217609057747,0.2579386153289178,0.7135949899461229,0.40692513917983586,0.5875225662373651
variant_220,0.9091736405608586,0.29213869176908425,0.42533269889023595,0.28948515688537535,0.4732046626880208
variant_221,0.5424855950750853,0.3908035109459167,0.369230533085696,0.271545669065516,0.3481715682533251
variant_222,0.8430868571922545,0.3811068956479282,0.4877127814701683,0.3041328056246142,0.5097239055229223
variant_223,0.43692636180755073,0.05962039246509576,0.11275691108075314,0.012235703752494054,0.0
variant_224,0.7113962846873889,0.4231590574880162,0.4878816251976241,0.3390697769991231,0.4897909057595354
variant_225,0.7777745277946622,0.2744667966480332,0.46542540944603905,0.2762660420867835,0.4285385146359095
variant_226,0.7090292653910666,0.17461440582821552,0.3099510353190378,0.15584477156836485,0.26606532388082943
variant_227,0.5310732544255075,0.19708233429234312,0.25100922500729084,0.17852533579993457,0.19597624629705085
variant_228,0.7783527872133433,0.5469798979687219,0.6922285837081148,0.5258454138910533,0.7024895901869594
variant_229,0.49290178725029676,0.2555402274493854,0.3530061858201967,0.20861771381051186,0.25167332164186457
variant_22,0.9362069492584837,0.4692853129016683,0.8395524106279448,0.5614241903693316,0.7986452623143743
variant_230,0.7604612667622845,0.29498599398638525,0.6553132051144295,0.36282691753378904,0.5307591253739308
variant_231,0.6997995192952331,0.3026882790316776,0.4060538151007691,0.27555177511646,0.3883895273910542
variant_232,0.48480205942595944,0.396782806939024,0.39873213710110633,0.31875975097340836,0.3573138646612319
variant_234,0.720290458218301,0.6413610183556671,0.8685781823205261,0.6383579892598057,0.8213512001826404
variant_235,0.7483263916657776,0.46158535448764226,0.8379100216426956,0.5310833716734242,0.7154651458425414
variant_236,0.0,0.342558478515798,0.0,0.29423658499230854,0.005576330078757158
variant_237,0.7657546026727005,0.5897027812504643,0.6376460114506743,0.4923887349333014,0.6813204023122863
variant_238,0.6883937747849131,0.31278155819268605,0.5572456983223071,0.32111993748404233,0.4598304065655518
